일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2021-04-21,19.366666666666667,9.0,29.366666666666664,,1.0,43.5,10.833333333333334,23.17,5.833333333333333
2021-04-22,21.866666666666664,14.933333333333332,29.3,0.0,1.9666666666666668,33.699999999999996,6.033333333333334,19.53,8.433333333333334
2021-04-23,18.7,16.066666666666666,21.96666666666667,0.05,2.8000000000000003,28.899999999999995,0.3666666666666667,11.3,9.566666666666668
2021-04-24,17.433333333333334,12.799999999999999,24.0,,1.5333333333333332,37.96666666666667,5.466666666666666,19.09,6.2
2021-04-25,16.833333333333332,9.0,24.133333333333336,,1.9000000000000001,49.5,11.199999999999998,25.835,1.4000000000000001
2021-04-26,16.033333333333335,9.366666666666667,22.46666666666667,,1.8333333333333333,41.73333333333333,11.733333333333334,25.8,4.8
2021-04-27,15.800000000000002,11.266666666666666,21.2,0.0,1.0,56.63333333333333,1.0666666666666667,11.469999999999999,9.200000000000001
2021-04-28,16.3,12.666666666666666,20.46666666666667,0.13333333333333333,1.3666666666666665,58.833333333333336,3.6666666666666665,14.91,8.133333333333333
2021-04-29,15.6,11.366666666666667,20.233333333333334,1.0,1.7666666666666666,54.73333333333333,7.533333333333334,21.314999999999998,7.7
2021-04-30,12.866666666666667,10.166666666666666,17.366666666666667,0.3666666666666667,2.433333333333333,67.5,4.0,15.815000000000001,8.266666666666667
2021-05-01,10.200000000000001,8.700000000000001,13.5,1.8666666666666665,1.6666666666666667,78.06666666666666,0.9666666666666668,7.875,8.166666666666666
2021-05-02,12.333333333333334,7.433333333333334,18.900000000000002,2.8666666666666667,1.5999999999999999,67.46666666666667,7.4,22.73,4.133333333333333
2021-05-03,14.366666666666667,5.766666666666667,22.900000000000002,,1.2333333333333334,57.03333333333333,11.299999999999999,27.38,3.9333333333333336
2021-05-04,16.566666666666666,11.366666666666667,21.866666666666664,4.466666666666667,1.6333333333333335,73.76666666666667,0.19999999999999998,9.285,9.9
2021-05-05,14.866666666666665,9.233333333333333,20.566666666666666,1.6666666666666667,2.3000000000000003,53.73333333333333,12.433333333333332,28.759999999999998,1.4000000000000001
2021-05-06,15.0,5.266666666666667,23.066666666666666,,1.1333333333333333,49.333333333333336,9.066666666666668,21.245,5.733333333333333
2021-05-07,14.6,9.466666666666667,20.566666666666666,2.6999999999999997,1.8666666666666665,60.06666666666666,7.333333333333333,15.395,3.5
2021-05-08,15.533333333333333,7.3999999999999995,23.366666666666664,,2.1666666666666665,59.666666666666664,10.666666666666666,25.14,0.6666666666666666
2021-05-09,15.9,8.666666666666666,22.933333333333334,,2.1,50.6,12.866666666666667,29.14,0.5333333333333333
2021-05-10,11.633333333333333,9.466666666666667,13.766666666666666,15.1,1.0666666666666667,84.8,0.19999999999999998,3.875,8.9
2021-05-11,15.800000000000002,11.666666666666666,20.266666666666666,3.0666666666666664,2.6666666666666665,64.16666666666667,3.4,15.91,8.166666666666666
2021-05-12,19.333333333333332,11.466666666666667,25.96666666666667,,1.9666666666666668,48.166666666666664,12.066666666666668,27.355,2.3666666666666667
2021-05-13,21.566666666666666,12.933333333333332,29.433333333333334,,0.9,59.53333333333333,12.766666666666666,27.310000000000002,2.3333333333333335
2021-05-14,23.46666666666667,15.666666666666666,30.96666666666667,,1.3666666666666665,62.93333333333334,10.299999999999999,23.66,6.666666666666667
2021-05-15,22.166666666666668,18.900000000000002,26.2,2.1999999999999997,1.3,81.39999999999999,1.9000000000000001,12.2,9.5
2021-05-16,20.96666666666667,18.066666666666666,22.7,43.43333333333334,1.0999999999999999,94.8,0.0,3.755,9.733333333333334
2021-05-17,16.333333333333332,15.066666666666668,18.333333333333332,4.966666666666666,1.2333333333333334,93.23333333333333,0.06666666666666667,5.155,9.633333333333333
2021-05-18,18.400000000000002,14.799999999999999,24.166666666666668,0.0,0.9333333333333332,76.96666666666665,7.3,20.785,6.233333333333333
2021-05-19,20.333333333333332,13.433333333333332,27.566666666666666,,1.0333333333333334,62.63333333333333,10.333333333333334,27.759999999999998,4.966666666666667
2021-05-20,16.666666666666668,15.200000000000001,19.7,10.5,1.4666666666666668,84.66666666666667,0.0,4.465,9.766666666666667
2021-05-21,14.9,13.699999999999998,16.133333333333333,3.9666666666666663,1.4666666666666668,91.5,0.0,4.535,8.299999999999999
2021-05-22,18.133333333333336,12.033333333333333,25.03333333333333,,1.2666666666666666,73.39999999999999,11.533333333333333,27.42,1.8999999999999997
2021-05-23,19.633333333333336,12.366666666666667,26.26666666666667,,0.7999999999999999,69.4,7.166666666666667,19.564999999999998,7.1000000000000005
2021-05-24,19.466666666666665,15.033333333333333,24.96666666666667,0.0,1.4000000000000001,58.36666666666667,7.433333333333334,23.54,5.233333333333333
2021-05-25,15.933333333333332,11.633333333333333,21.766666666666666,1.8,2.0,62.76666666666667,8.1,22.145,3.966666666666667
2021-05-26,16.866666666666664,11.233333333333334,23.53333333333333,0.8,1.0999999999999999,64.36666666666666,2.1,12.71,9.0
2021-05-27,16.366666666666667,13.033333333333333,21.0,1.7666666666666668,1.5,78.83333333333333,4.466666666666667,11.059999999999999,6.0
2021-05-28,14.466666666666667,11.133333333333335,19.433333333333334,25.566666666666666,1.4666666666666668,85.73333333333333,3.0,8.135,7.233333333333333
2021-05-29,17.566666666666666,12.233333333333334,24.03333333333333,0.0,1.6666666666666667,68.60000000000001,8.666666666666666,22.85,3.8666666666666667
