lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.58,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.59,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.6,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.61,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.62,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.63,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.64,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.65,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.66,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.67,0.9917808219178083,0.9896551724137931,0.9795221843003413,0.9845626072041166,0.999455286697931,0.9986929664689468,0.9878907679606445,799,3,6,287
T+1,RandomForest,0.68,0.9926940639269406,0.9930795847750865,0.9795221843003413,0.9862542955326461,0.999455286697931,0.9986929664689468,0.9885142093571533,800,2,6,287
T+1,RandomForest,0.69,0.9926940639269406,0.9930795847750865,0.9795221843003413,0.9862542955326461,0.999455286697931,0.9986929664689468,0.9885142093571533,800,2,6,287
T+1,RandomForest,0.7,0.993607305936073,0.9965277777777778,0.9795221843003413,0.9879518072289156,0.999455286697931,0.9986929664689468,0.989137650753662,801,1,6,287
T+1,RandomForest,0.71,0.993607305936073,0.9965277777777778,0.9795221843003413,0.9879518072289156,0.999455286697931,0.9986929664689468,0.989137650753662,801,1,6,287
T+1,RandomForest,0.72,0.993607305936073,0.9965277777777778,0.9795221843003413,0.9879518072289156,0.999455286697931,0.9986929664689468,0.989137650753662,801,1,6,287
T+1,RandomForest,0.73,0.993607305936073,0.9965277777777778,0.9795221843003413,0.9879518072289156,0.999455286697931,0.9986929664689468,0.989137650753662,801,1,6,287
T+1,RandomForest,0.74,0.9945205479452055,1.0,0.9795221843003413,0.9896551724137931,0.999455286697931,0.9986929664689468,0.9897610921501707,802,0,6,287
T+1,RandomForest,0.75,0.9945205479452055,1.0,0.9795221843003413,0.9896551724137931,0.999455286697931,0.9986929664689468,0.9897610921501707,802,0,6,287
T+1,RandomForest,0.76,0.9945205479452055,1.0,0.9795221843003413,0.9896551724137931,0.999455286697931,0.9986929664689468,0.9897610921501707,802,0,6,287
T+1,RandomForest,0.77,0.9945205479452055,1.0,0.9795221843003413,0.9896551724137931,0.999455286697931,0.9986929664689468,0.9897610921501707,802,0,6,287
T+1,RandomForest,0.78,0.9945205479452055,1.0,0.9795221843003413,0.9896551724137931,0.999455286697931,0.9986929664689468,0.9897610921501707,802,0,6,287
